ID,name,x,y,dx,dy
number,string,number,number,number,number
1,广寒宫,145,84,10,8
2,蟠桃园,209,78,10,6
3,御马监,233,126,8,8
4,瑶池,137,124,11,7
5,天宫,195,152,7,10
6,方寸后山,133,194,8,9
7,方寸山,162,220,8,7
8,长寿村,178,253,9,16
9,长寿村外,146,300,9,9
10,普陀山,136,420,11,7
11,宝象国,271,292,9,12
12,平顶山,239,324,11,9
13,火云戈壁,223,366,11,8
14,女儿国,235,389,12,8
15,白骨山,335,305,6,10
16,万寿山,320,333,7,10
17,四圣庄,305,366,7,9
18,大唐边境,286,400,9,8
19,狮驼岭,275,429,10,9
20,五庄观,399,336,9,9
21,斧头帮,378,372,9,8
22,五指山,374,398,11,7
23,大雁塔,460,312,13,7
24,化生寺,505,286,10,7
25,皇宫,544,314,9,9
26,长安,496,345,13,9
27,大唐境内,444,404,12,8
28,洛阳,456,447,14,11
29,长安城东,574,381,10,8
30,轮回司,544,467,9,8
31,地府,599,497,11,11
32,地狱迷宫,609,459,12,8
33,兰若寺,657,491,11,10
34,地下鬼岛,663,419,10,8
35,珊瑚海岛,637,384,12,7
36,东海渔村,646,355,11,8
37,海底迷宫,622,303,10,8
38,龙宫,609,277,9,12
39,傲来国,585,192,12,10
40,女儿村,667,151,10,8
41,北俱芦洲,413,137,11,12
42,龙窟,477,102,8,9
43,凤巢,377,112,9,8
44,灵兽村,406,91,8,9
45,修罗古城,437,71,8,8
